reg;cl_age90;jour;hosp;rea;rad;dc
93;39;2020-03-26;30;2;81;0
93;49;2020-03-26;63;14;116;0
93;59;2020-03-26;117;35;120;0
93;69;2020-03-26;146;41;95;4
93;79;2020-03-26;144;52;49;6
93;89;2020-03-26;103;11;26;26
93;90;2020-03-26;39;1;9;7
94;0;2020-03-26;95;13;63;19
94;09;2020-03-26;0;0;2;0
94;19;2020-03-26;0;0;3;0
94;29;2020-03-26;2;0;11;0
94;39;2020-03-26;2;0;7;0
94;49;2020-03-26;3;1;9;0
94;59;2020-03-26;13;4;11;1
94;69;2020-03-26;12;3;10;2
94;79;2020-03-26;26;4;2;3
94;89;2020-03-26;27;1;3;11
94;90;2020-03-26;10;0;4;2
01;0;2020-03-27;29;13;6;1
01;09;2020-03-27;0;0;0;0
01;19;2020-03-27;0;0;0;0
01;29;2020-03-27;0;0;0;0
01;39;2020-03-27;4;1;1;0
01;49;2020-03-27;2;0;0;0
01;59;2020-03-27;8;3;3;0
01;69;2020-03-27;9;4;0;0
01;79;2020-03-27;4;4;1;1
01;89;2020-03-27;2;1;1;0
01;90;2020-03-27;0;0;0;0
02;0;2020-03-27;44;15;13;1
02;09;2020-03-27;3;1;0;0
02;19;2020-03-27;0;0;0;0
02;29;2020-03-27;1;0;2;0
02;39;2020-03-27;2;0;2;0
02;49;2020-03-27;6;1;2;0
02;59;2020-03-27;10;5;6;0
02;69;2020-03-27;11;6;0;0
02;79;2020-03-27;6;0;1;0
02;89;2020-03-27;5;2;0;1
02;90;2020-03-27;0;0;0;0
03;0;2020-03-27;0;0;0;0
03;09;2020-03-27;0;0;0;0
03;19;2020-03-27;0;0;0;0
03;29;2020-03-27;0;0;0;0
03;39;2020-03-27;0;0;0;0
03;49;2020-03-27;0;0;0;0
03;59;2020-03-27;0;0;0;0
03;69;2020-03-27;0;0;0;0
03;79;2020-03-27;0;0;0;0
03;89;2020-03-27;0;0;0;0
03;90;2020-03-27;0;0;0;0
04;0;2020-03-27;3;2;0;0
04;09;2020-03-27;0;0;0;0
04;19;2020-03-27;0;0;0;0
04;29;2020-03-27;0;0;0;0
04;39;2020-03-27;0;0;0;0
04;49;2020-03-27;0;0;0;0
04;59;2020-03-27;0;0;0;0
04;69;2020-03-27;0;0;0;0
04;79;2020-03-27;2;1;0;0
04;89;2020-03-27;1;1;0;0
04;90;2020-03-27;0;0;0;0
06;0;2020-03-27;0;0;0;0
06;09;2020-03-27;0;0;0;0
06;19;2020-03-27;0;0;0;0
06;29;2020-03-27;0;0;0;0
06;39;2020-03-27;0;0;0;0
06;49;2020-03-27;0;0;0;0
06;59;2020-03-27;0;0;0;0
06;69;2020-03-27;0;0;0;0
06;79;2020-03-27;0;0;0;0
06;89;2020-03-27;0;0;0;0
06;90;2020-03-27;0;0;0;0
11;0;2020-03-27;5793;1389;1598;578
11;09;2020-03-27;16;5;46;0
11;19;2020-03-27;14;3;15;1
11;29;2020-03-27;83;16;98;0
11;39;2020-03-27;319;80;204;4
11;49;2020-03-27;544;147;236;10
11;59;2020-03-27;1058;371;332;30
11;69;2020-03-27;1234;410;299;78
11;79;2020-03-27;1157;293;202;135
11;89;2020-03-27;931;53;124;215
11;90;2020-03-27;381;2;30;96
24;0;2020-03-27;247;80;64;26
24;09;2020-03-27;0;0;1;0
24;19;2020-03-27;0;0;1;0
24;29;2020-03-27;3;1;1;0
24;39;2020-03-27;4;2;4;0
24;49;2020-03-27;27;10;10;0
24;59;2020-03-27;28;12;13;2
24;69;2020-03-27;49;27;13;1
24;79;2020-03-27;64;26;13;8
24;89;2020-03-27;50;2;6;8
24;90;2020-03-27;18;0;1;7
27;0;2020-03-27;740;186;432;139
27;09;2020-03-27;3;1;4;0
27;19;2020-03-27;4;0;4;0
27;29;2020-03-27;6;0;34;0
27;39;2020-03-27;14;3;59;0
27;49;2020-03-27;40;6;59;2
27;59;2020-03-27;92;34;76;3
27;69;2020-03-27;148;55;64;12
27;79;2020-03-27;175;65;60;39
27;89;2020-03-27;202;21;50;59
27;90;2020-03-27;55;1;22;24
28;0;2020-03-27;313;93;73;24
28;09;2020-03-27;0;0;1;0
28;19;2020-03-27;2;0;0;0
28;29;2020-03-27;3;0;8;0
28;39;2020-03-27;9;3;6;0
28;49;2020-03-27;20;4;9;0
28;59;2020-03-27;42;13;21;3
28;69;2020-03-27;66;28;12;3
28;79;2020-03-27;92;37;8;5
28;89;2020-03-27;63;8;8;7
28;90;2020-03-27;14;0;0;6
32;0;2020-03-27;993;302;401;169
32;09;2020-03-27;7;0;16;0
32;19;2020-03-27;1;0;3;0
32;29;2020-03-27;12;4;30;0
32;39;2020-03-27;34;7;51;0
32;49;2020-03-27;53;21;69;1
32;59;2020-03-27;140;57;68;5
32;69;2020-03-27;217;93;43;21
32;79;2020-03-27;239;94;59;49
32;89;2020-03-27;220;23;41;66
32;90;2020-03-27;64;0;20;26
44;0;2020-03-27;3290;699;1074;657
44;09;2020-03-27;9;0;58;0
44;19;2020-03-27;4;2;8;0
44;29;2020-03-27;40;7;45;0
44;39;2020-03-27;77;20;78;0
44;49;2020-03-27;172;51;90;4
44;59;2020-03-27;341;105;168;18
44;69;2020-03-27;683;229;204;57
44;79;2020-03-27;905;232;199;158
44;89;2020-03-27;755;37;151;276
44;90;2020-03-27;246;3;44;138
52;0;2020-03-27;371;84;141;31
52;09;2020-03-27;0;0;1;0
52;19;2020-03-27;0;0;1;0
52;29;2020-03-27;3;0;11;0
52;39;2020-03-27;8;2;9;0
52;49;2020-03-27;21;6;35;0
52;59;2020-03-27;39;8;26;0
52;69;2020-03-27;62;24;25;1
52;79;2020-03-27;112;42;15;2
52;89;2020-03-27;93;1;13;17
52;90;2020-03-27;30;0;5;11
53;0;2020-03-27;215;49;131;34
53;09;2020-03-27;0;0;5;0
53;19;2020-03-27;1;0;1;0
53;29;2020-03-27;2;0;5;0
53;39;2020-03-27;11;1;11;0
53;49;2020-03-27;9;2;6;0
53;59;2020-03-27;31;14;19;0
53;69;2020-03-27;37;13;33;2
53;79;2020-03-27;63;15;35;7
53;89;2020-03-27;47;4;13;17
53;90;2020-03-27;14;0;3;8
75;0;2020-03-27;482;116;191;42
75;09;2020-03-27;2;0;8;0
75;19;2020-03-27;2;0;3;0
75;29;2020-03-27;9;1;23;0
75;39;2020-03-27;11;2;23;0
75;49;2020-03-27;39;13;23;0
75;59;2020-03-27;68;22;26;2
75;69;2020-03-27;92;29;24;5
75;79;2020-03-27;96;30;23;6
75;89;2020-03-27;120;17;23;17
75;90;2020-03-27;39;0;6;10
76;0;2020-03-27;618;187;256;61
76;09;2020-03-27;7;1;10;0
76;19;2020-03-27;2;0;4;0
76;29;2020-03-27;11;3;20;1
76;39;2020-03-27;24;5;34;0
76;49;2020-03-27;58;17;32;0
76;59;2020-03-27;92;34;59;2
76;69;2020-03-27;131;51;41;3
76;79;2020-03-27;177;66;38;13
76;89;2020-03-27;93;10;17;33
76;90;2020-03-27;22;0;1;9
84;0;2020-03-27;1638;344;606;164
84;09;2020-03-27;6;0;5;0
84;19;2020-03-27;3;0;3;0
84;29;2020-03-27;19;3;42;0
84;39;2020-03-27;33;5;69;2
84;49;2020-03-27;94;21;80;3
84;59;2020-03-27;165;56;101;4
84;69;2020-03-27;292;94;92;8
84;79;2020-03-27;427;118;109;36
84;89;2020-03-27;403;36;77;63
84;90;2020-03-27;153;0;15;46
93;0;2020-03-27;823;186;642;48
93;09;2020-03-27;1;0;11;0
93;19;2020-03-27;2;0;21;0
93;29;2020-03-27;20;2;74;1
93;39;2020-03-27;33;2;91;0
93;49;2020-03-27;69;13;119;0
93;59;2020-03-27;138;42;125;1
93;69;2020-03-27;179;45;100;4
93;79;2020-03-27;180;61;56;6
93;89;2020-03-27;120;14;33;29
93;90;2020-03-27;50;1;10;7
94;0;2020-03-27;102;13;70;19
94;09;2020-03-27;0;0;2;0
94;19;2020-03-27;0;0;3;0
94;29;2020-03-27;1;0;13;0
94;39;2020-03-27;2;0;7;0
94;49;2020-03-27;2;1;11;0
94;59;2020-03-27;11;4;13;1
94;69;2020-03-27;15;3;11;2
94;79;2020-03-27;29;4;2;3
94;89;2020-03-27;31;1;3;11
94;90;2020-03-27;10;0;4;2
01;0;2020-03-28;44;13;9;1
01;09;2020-03-28;0;0;0;0
01;19;2020-03-28;0;0;0;0
01;29;2020-03-28;0;0;0;0
01;39;2020-03-28;4;1;1;0
01;49;2020-03-28;2;0;0;0
01;59;2020-03-28;11;3;4;0
01;69;2020-03-28;11;4;2;0
01;79;2020-03-28;5;4;1;1
01;89;2020-03-28;9;1;1;0
01;90;2020-03-28;1;0;0;0
02;0;2020-03-28;53;14;15;1
02;09;2020-03-28;3;1;0;0
02;19;2020-03-28;0;0;0;0
02;29;2020-03-28;2;0;2;0
02;39;2020-03-28;2;0;2;0
02;49;2020-03-28;8;1;2;0
02;59;2020-03-28;11;5;6;0
02;69;2020-03-28;14;5;1;0
02;79;2020-03-28;7;0;2;0
02;89;2020-03-28;6;2;0;1
02;90;2020-03-28;0;0;0;0
03;0;2020-03-28;0;0;0;0
03;09;2020-03-28;0;0;0;0
03;19;2020-03-28;0;0;0;0
03;29;2020-03-28;0;0;0;0
03;39;2020-03-28;0;0;0;0
03;49;2020-03-28;0;0;0;0
03;59;2020-03-28;0;0;0;0
03;69;2020-03-28;0;0;0;0
03;79;2020-03-28;0;0;0;0
03;89;2020-03-28;0;0;0;0
03;90;2020-03-28;0;0;0;0
04;0;2020-03-28;15;3;0;0
04;09;2020-03-28;0;0;0;0
04;19;2020-03-28;0;0;0;0
04;29;2020-03-28;4;0;0;0
04;39;2020-03-28;0;0;0;0
04;49;2020-03-28;2;1;0;0
04;59;2020-03-28;5;0;0;0
04;69;2020-03-28;0;0;0;0
04;79;2020-03-28;3;1;0;0
04;89;2020-03-28;1;1;0;0
04;90;2020-03-28;0;0;0;0
06;0;2020-03-28;0;0;0;0
06;09;2020-03-28;0;0;0;0
06;19;2020-03-28;0;0;0;0
06;29;2020-03-28;0;0;0;0
06;39;2020-03-28;0;0;0;0
06;49;2020-03-28;0;0;0;0
06;59;2020-03-28;0;0;0;0
06;69;2020-03-28;0;0;0;0
06;79;2020-03-28;0;0;0;0
06;89;2020-03-28;0;0;0;0
06;90;2020-03-28;0;0;0;0
11;0;2020-03-28;6523;1570;1937;688
11;09;2020-03-28;19;5;49;0
11;19;2020-03-28;18;3;18;1
11;29;2020-03-28;96;19;120;0
11;39;2020-03-28;327;85;257;6
11;49;2020-03-28;623;160;286;15
11;59;2020-03-28;1197;419;401;37
11;69;2020-03-28;1415;481;359;94
11;79;2020-03-28;1296;327;239;167
11;89;2020-03-28;1037;53;149;244
11;90;2020-03-28;422;4;37;115
24;0;2020-03-28;293;89;77;35
24;09;2020-03-28;0;0;1;0
24;19;2020-03-28;0;0;1;0
24;29;2020-03-28;2;1;2;0
24;39;2020-03-28;3;1;6;0
24;49;2020-03-28;26;10;12;0
24;59;2020-03-28;33;16;16;2
24;69;2020-03-28;64;30;15;2
24;79;2020-03-28;73;29;16;10
24;89;2020-03-28;60;2;6;10
24;90;2020-03-28;22;0;1;9
27;0;2020-03-28;787;194;493;148
27;09;2020-03-28;8;1;4;0
27;19;2020-03-28;3;0;5;0
27;29;2020-03-28;3;0;41;0
27;39;2020-03-28;19;3;62;0
27;49;2020-03-28;41;7;64;2
27;59;2020-03-28;99;35;85;4
27;69;2020-03-28;154;60;75;14
27;79;2020-03-28;187;67;73;40
27;89;2020-03-28;216;20;58;64
27;90;2020-03-28;55;1;26;24
28;0;2020-03-28;385;111;95;26
28;09;2020-03-28;0;0;1;0
28;19;2020-03-28;2;0;0;0
28;29;2020-03-28;4;0;8;0
28;39;2020-03-28;14;3;7;0
28;49;2020-03-28;26;7;12;0
28;59;2020-03-28;54;16;27;3
28;69;2020-03-28;83;32;15;4
28;79;2020-03-28;105;41;14;5
28;89;2020-03-28;78;11;10;8
28;90;2020-03-28;16;1;1;6
32;0;2020-03-28;1132;329;452;196
32;09;2020-03-28;6;0;18;0
32;19;2020-03-28;1;0;4;0
32;29;2020-03-28;13;4;33;0
32;39;2020-03-28;38;7;57;0
32;49;2020-03-28;66;24;75;1
32;59;2020-03-28;168;62;75;6
32;69;2020-03-28;239;100;56;24
32;79;2020-03-28;272;105;64;58
32;89;2020-03-28;242;24;50;77
32;90;2020-03-28;82;0;19;29
44;0;2020-03-28;3525;756;1264;753
44;09;2020-03-28;7;0;62;0
44;19;2020-03-28;4;2;10;0
44;29;2020-03-28;41;6;58;0
44;39;2020-03-28;84;21;89;1
44;49;2020-03-28;180;53;116;5
44;59;2020-03-28;388;128;192;19
44;69;2020-03-28;722;251;244;67
44;79;2020-03-28;959;244;234;186
44;89;2020-03-28;809;34;173;319
44;90;2020-03-28;267;3;56;150
52;0;2020-03-28;441;103;163;42
52;09;2020-03-28;0;0;1;0
52;19;2020-03-28;1;1;1;0
52;29;2020-03-28;4;1;10;0
52;39;2020-03-28;13;3;10;0
52;49;2020-03-28;27;9;38;0
52;59;2020-03-28;45;9;28;0
52;69;2020-03-28;79;31;30;3
52;79;2020-03-28;126;46;23;5
52;89;2020-03-28;108;2;17;21
52;90;2020-03-28;35;0;5;13
53;0;2020-03-28;240;57;145;37
53;09;2020-03-28;0;0;5;0
53;19;2020-03-28;0;0;2;0
53;29;2020-03-28;5;1;6;0
53;39;2020-03-28;11;1;13;0
53;49;2020-03-28;12;2;7;0
53;59;2020-03-28;35;14;22;0
53;69;2020-03-28;41;16;33;3
53;79;2020-03-28;70;19;38;8
53;89;2020-03-28;51;4;15;18
53;90;2020-03-28;15;0;4;8
75;0;2020-03-28;490;127;211;50
75;09;2020-03-28;0;0;4;0
75;19;2020-03-28;2;0;3;0
75;29;2020-03-28;8;1;22;0
75;39;2020-03-28;10;1;24;0
75;49;2020-03-28;38;13;26;0
75;59;2020-03-28;76;26;31;2
75;69;2020-03-28;103;34;27;5
75;79;2020-03-28;104;30;27;9
75;89;2020-03-28;106;20;31;20
75;90;2020-03-28;39;0;8;13
76;0;2020-03-28;706;212;301;68
76;09;2020-03-28;6;1;13;0
76;19;2020-03-28;2;0;4;0
76;29;2020-03-28;10;4;24;1
76;39;2020-03-28;28;6;40;0
76;49;2020-03-28;65;18;40;0
76;59;2020-03-28;104;38;67;2
76;69;2020-03-28;142;60;49;5
76;79;2020-03-28;200;74;44;14
76;89;2020-03-28;119;11;19;36
76;90;2020-03-28;28;0;1;10
84;0;2020-03-28;1904;432;700;194
84;09;2020-03-28;8;0;5;0
84;19;2020-03-28;6;2;3;0
84;29;2020-03-28;17;3;50;0
84;39;2020-03-28;45;6;76;2
84;49;2020-03-28;103;23;97;2
84;59;2020-03-28;193;72;121;6
84;69;2020-03-28;352;128;109;9
84;79;2020-03-28;500;145;124;42
84;89;2020-03-28;453;41;86;79
84;90;2020-03-28;178;0;19;51
93;0;2020-03-28;934;208;691;55
93;09;2020-03-28;1;0;11;0
93;19;2020-03-28;2;0;21;0
93;29;2020-03-28;22;2;74;1
93;39;2020-03-28;39;2;98;0
93;49;2020-03-28;78;16;122;0
93;59;2020-03-28;152;43;136;1
93;69;2020-03-28;197;49;114;5
93;79;2020-03-28;209;71;62;7
93;89;2020-03-28;139;15;37;33
93;90;2020-03-28;62;1;12;8
94;0;2020-03-28;108;18;71;19
94;09;2020-03-28;0;0;2;0
94;19;2020-03-28;0;0;3;0
94;29;2020-03-28;2;0;13;0
94;39;2020-03-28;2;0;7;0
94;49;2020-03-28;2;1;11;0
94;59;2020-03-28;12;4;13;1
94;69;2020-03-28;15;7;10;2
94;79;2020-03-28;28;5;3;3
94;89;2020-03-28;34;1;4;11
94;90;2020-03-28;12;0;4;2
01;0;2020-03-29;44;12;9;2
01;09;2020-03-29;0;0;0;0
01;19;2020-03-29;0;0;0;0
01;29;2020-03-29;0;0;0;0
01;39;2020-03-29;4;1;1;0
01;49;2020-03-29;3;0;0;0
01;59;2020-03-29;11;3;4;0
01;69;2020-03-29;11;4;2;0
01;79;2020-03-29;4;3;1;2
01;89;2020-03-29;9;1;1;0
01;90;2020-03-29;1;0;0;0
02;0;2020-03-29;57;15;17;3
02;09;2020-03-29;3;1;0;0
02;19;2020-03-29;0;0;0;0
02;29;2020-03-29;2;0;2;0
02;39;2020-03-29;2;0;2;0
02;49;2020-03-29;7;1;3;0
02;59;2020-03-29;11;5;6;0
02;69;2020-03-29;17;6;2;0
02;79;2020-03-29;9;1;2;0
02;89;2020-03-29;6;1;0;3
02;90;2020-03-29;0;0;0;0
03;0;2020-03-29;0;0;0;0
03;09;2020-03-29;0;0;0;0
03;19;2020-03-29;0;0;0;0
03;29;2020-03-29;0;0;0;0
03;39;2020-03-29;0;0;0;0
03;49;2020-03-29;0;0;0;0
03;59;2020-03-29;0;0;0;0
03;69;2020-03-29;0;0;0;0
03;79;2020-03-29;0;0;0;0
03;89;2020-03-29;0;0;0;0
03;90;2020-03-29;0;0;0;0
04;0;2020-03-29;53;4;5;0
04;09;2020-03-29;0;0;0;0
04;19;2020-03-29;0;0;0;0
04;29;2020-03-29;6;0;2;0
04;39;2020-03-29;6;0;1;0
04;49;2020-03-29;5;1;0;0
04;59;2020-03-29;10;1;1;0
04;69;2020-03-29;10;0;1;0
04;79;2020-03-29;13;1;0;0
04;89;2020-03-29;3;1;0;0
04;90;2020-03-29;0;0;0;0
06;0;2020-03-29;0;0;0;0
06;09;2020-03-29;0;0;0;0
06;19;2020-03-29;0;0;0;0
06;29;2020-03-29;0;0;0;0
06;39;2020-03-29;0;0;0;0
06;49;2020-03-29;0;0;0;0
06;59;2020-03-29;0;0;0;0
06;69;2020-03-29;0;0;0;0
06;79;2020-03-29;0;0;0;0
06;89;2020-03-29;0;0;0;0
06;90;2020-03-29;0;0;0;0
11;0;2020-03-29;7092;1668;2109;807
11;09;2020-03-29;21;5;52;0
11;19;2020-03-29;19;3;19;1
11;29;2020-03-29;104;21;130;1
11;39;2020-03-29;360;94;282;6
11;49;2020-03-29;682;166;314;18
11;59;2020-03-29;1331;464;433;45
11;69;2020-03-29;1555;513;388;112
11;79;2020-03-29;1395;341;263;200
11;89;2020-03-29;1089;43;167;283
11;90;2020-03-29;459;3;38;131
24;0;2020-03-29;358;103;83;39
24;09;2020-03-29;0;0;1;0
24;19;2020-03-29;0;0;1;0
24;29;2020-03-29;3;1;2;0
24;39;2020-03-29;7;1;7;0
24;49;2020-03-29;35;8;14;0
24;59;2020-03-29;43;19;17;2
24;69;2020-03-29;85;37;16;2
24;79;2020-03-29;85;35;17;10
24;89;2020-03-29;67;2;6;13
24;90;2020-03-29;23;0;1;10
27;0;2020-03-29;873;217;549;164
27;09;2020-03-29;9;1;4;0
27;19;2020-03-29;3;0;6;0
27;29;2020-03-29;5;0;43;0
27;39;2020-03-29;17;2;71;0
27;49;2020-03-29;48;8;71;3
27;59;2020-03-29;111;38;92;4
27;69;2020-03-29;177;72;84;14
27;79;2020-03-29;218;78;83;45
27;89;2020-03-29;228;17;64;71
27;90;2020-03-29;55;1;30;27
28;0;2020-03-29;455;122;103;32
28;09;2020-03-29;0;0;1;0
28;19;2020-03-29;2;0;0;0
28;29;2020-03-29;4;0;8;0
28;39;2020-03-29;15;3;8;1
28;49;2020-03-29;38;9;12;0
28;59;2020-03-29;63;18;29;3
28;69;2020-03-29;104;40;16;4
28;79;2020-03-29;112;39;16;7
28;89;2020-03-29;92;12;11;10
28;90;2020-03-29;21;1;2;7
32;0;2020-03-29;1237;348;476;211
32;09;2020-03-29;11;0;11;0
32;19;2020-03-29;1;0;5;0
32;29;2020-03-29;15;4;35;0
32;39;2020-03-29;44;8;67;0
32;49;2020-03-29;76;25;76;1
32;59;2020-03-29;188;68;82;7
32;69;2020-03-29;263;105;60;25
32;79;2020-03-29;288;108;69;63
32;89;2020-03-29;261;27;52;83
32;90;2020-03-29;85;0;18;31
44;0;2020-03-29;3735;792;1348;815
44;09;2020-03-29;7;0;65;0
44;19;2020-03-29;4;1;10;0
44;29;2020-03-29;46;6;65;0
44;39;2020-03-29;95;22;99;1
44;49;2020-03-29;198;55;127;5
44;59;2020-03-29;428;135;200;19
44;69;2020-03-29;778;278;257;72
44;79;2020-03-29;999;245;256;211
44;89;2020-03-29;835;35;182;339
44;90;2020-03-29;282;1;55;161
52;0;2020-03-29;499;107;182;47
52;09;2020-03-29;0;0;1;0
52;19;2020-03-29;1;1;1;0
52;29;2020-03-29;6;0;10;0
52;39;2020-03-29;17;4;13;0
52;49;2020-03-29;26;8;43;0
52;59;2020-03-29;53;9;29;0
52;69;2020-03-29;90;33;34;4
52;79;2020-03-29;145;49;28;5
52;89;2020-03-29;120;2;18;24
52;90;2020-03-29;38;0;5;14
53;0;2020-03-29;268;57;166;41
53;09;2020-03-29;0;0;4;0
53;19;2020-03-29;0;0;2;0
53;29;2020-03-29;4;1;8;0
53;39;2020-03-29;10;1;16;0
53;49;2020-03-29;12;2;10;0
53;59;2020-03-29;41;13;24;0
53;69;2020-03-29;49;17;35;3
53;79;2020-03-29;76;19;40;8
53;89;2020-03-29;58;4;18;21
53;90;2020-03-29;18;0;8;9
75;0;2020-03-29;558;160;226;58
75;09;2020-03-29;0;0;4;0
75;19;2020-03-29;3;0;3;0
75;29;2020-03-29;8;1;23;0
75;39;2020-03-29;19;3;23;0
75;49;2020-03-29;42;15;29;0
75;59;2020-03-29;92;35;33;2
75;69;2020-03-29;128;44;32;5
75;79;2020-03-29;120;40;28;12
75;89;2020-03-29;110;20;34;21
75;90;2020-03-29;32;0;9;17
76;0;2020-03-29;796;227;314;76
76;09;2020-03-29;6;1;14;0
76;19;2020-03-29;1;1;4;0
76;29;2020-03-29;14;4;25;1
76;39;2020-03-29;32;7;41;0
76;49;2020-03-29;72;19;42;0
76;59;2020-03-29;114;41;68;4
76;69;2020-03-29;159;63;52;6
76;79;2020-03-29;226;78;48;14
76;89;2020-03-29;138;13;19;39
76;90;2020-03-29;34;0;1;12
84;0;2020-03-29;2115;497;755;227
84;09;2020-03-29;9;0;6;0
84;19;2020-03-29;6;2;4;0
84;29;2020-03-29;20;4;49;0
84;39;2020-03-29;54;7;81;2
84;49;2020-03-29;113;29;108;2
84;59;2020-03-29;232;85;129;6
84;69;2020-03-29;386;142;122;12
84;79;2020-03-29;564;174;136;48
84;89;2020-03-29;479;41;90;95
84;90;2020-03-29;190;0;19;58
93;0;2020-03-29;1073;243;710;65
93;09;2020-03-29;1;0;11;0
93;19;2020-03-29;4;0;21;0
93;29;2020-03-29;23;2;75;1
93;39;2020-03-29;44;3;99;0
93;49;2020-03-29;92;20;124;0
93;59;2020-03-29;175;52;139;2
93;69;2020-03-29;231;59;117;5
93;79;2020-03-29;234;77;66;9
93;89;2020-03-29;162;19;41;36
93;90;2020-03-29;69;1;12;12
94;0;2020-03-29;98;20;79;19
94;09;2020-03-29;0;0;3;0
94;19;2020-03-29;0;0;3;0
94;29;2020-03-29;0;0;13;0
94;39;2020-03-29;1;0;9;0
94;49;2020-03-29;2;1;11;0
94;59;2020-03-29;13;5;13;1
94;69;2020-03-29;14;7;12;2
94;79;2020-03-29;29;5;4;3
94;89;2020-03-29;27;2;6;11
94;90;2020-03-29;11;0;4;2
01;0;2020-03-30;35;11;18;4
01;09;2020-03-30;0;0;0;0
01;19;2020-03-30;0;0;0;0
01;29;2020-03-30;0;0;0;0
01;39;2020-03-30;4;1;1;0
01;49;2020-03-30;4;1;0;0
01;59;2020-03-30;7;1;8;0
01;69;2020-03-30;9;5;4;1
01;79;2020-03-30;3;3;2;2
01;89;2020-03-30;7;0;2;1
01;90;2020-03-30;1;0;0;0
02;0;2020-03-30;57;15;17;3
02;09;2020-03-30;3;1;0;0
02;19;2020-03-30;0;0;0;0
02;29;2020-03-30;2;0;2;0
02;39;2020-03-30;2;0;2;0
02;49;2020-03-30;7;1;3;0
02;59;2020-03-30;11;5;6;0
02;69;2020-03-30;17;6;2;0
02;79;2020-03-30;9;1;2;0
02;89;2020-03-30;6;1;0;3
02;90;2020-03-30;0;0;0;0
03;0;2020-03-30;0;0;0;0
03;09;2020-03-30;0;0;0;0
03;19;2020-03-30;0;0;0;0
03;29;2020-03-30;0;0;0;0
03;39;2020-03-30;0;0;0;0
03;49;2020-03-30;0;0;0;0
03;59;2020-03-30;0;0;0;0
03;69;2020-03-30;0;0;0;0
03;79;2020-03-30;0;0;0;0
03;89;2020-03-30;0;0;0;0
03;90;2020-03-30;0;0;0;0
04;0;2020-03-30;56;4;6;0
04;09;2020-03-30;0;0;0;0
04;19;2020-03-30;0;0;0;0
04;29;2020-03-30;6;0;2;0
04;39;2020-03-30;6;0;1;0
04;49;2020-03-30;5;1;0;0
04;59;2020-03-30;12;1;1;0
04;69;2020-03-30;10;0;2;0
04;79;2020-03-30;13;1;0;0
04;89;2020-03-30;4;1;0;0
04;90;2020-03-30;0;0;0;0
06;0;2020-03-30;0;0;0;0
06;09;2020-03-30;0;0;0;0
06;19;2020-03-30;0;0;0;0
06;29;2020-03-30;0;0;0;0
06;39;2020-03-30;0;0;0;0
06;49;2020-03-30;0;0;0;0
06;59;2020-03-30;0;0;0;0
06;69;2020-03-30;0;0;0;0
06;79;2020-03-30;0;0;0;0
06;89;2020-03-30;0;0;0;0
06;90;2020-03-30;0;0;0;0
11;0;2020-03-30;7689;1792;2394;954
11;09;2020-03-30;26;6;56;0
11;19;2020-03-30;21;5;23;1
11;29;2020-03-30;113;22;143;1
11;39;2020-03-30;379;100;316;7
11;49;2020-03-30;738;186;375;19
11;59;2020-03-30;1432;492;501;55
11;69;2020-03-30;1664;548;447;129
11;79;2020-03-30;1524;356;290;239
11;89;2020-03-30;1190;44;174;326
11;90;2020-03-30;483;3;43;159
24;0;2020-03-30;457;115;100;53
24;09;2020-03-30;1;0;2;0
24;19;2020-03-30;0;0;1;0
24;29;2020-03-30;4;1;2;0
24;39;2020-03-30;10;1;8;0
24;49;2020-03-30;46;11;18;0
24;59;2020-03-30;52;20;19;3
24;69;2020-03-30;108;44;19;3
24;79;2020-03-30;107;36;18;14
24;89;2020-03-30;85;2;9;19
24;90;2020-03-30;34;0;1;12
27;0;2020-03-30;902;220;604;187
27;09;2020-03-30;9;1;4;0
27;19;2020-03-30;3;0;7;0
27;29;2020-03-30;4;0;46;0
27;39;2020-03-30;15;2;75;0
27;49;2020-03-30;48;9;81;3
27;59;2020-03-30;117;39;103;5
27;69;2020-03-30;176;75;100;18
27;79;2020-03-30;233;76;86;51
27;89;2020-03-30;232;17;69;81
27;90;2020-03-30;64;1;31;29
28;0;2020-03-30;479;137;113;42
28;09;2020-03-30;0;0;1;0
28;19;2020-03-30;2;0;0;0
28;29;2020-03-30;5;0;9;0
28;39;2020-03-30;14;3;9;1
28;49;2020-03-30;37;11;15;0
28;59;2020-03-30;70;23;29;3
28;69;2020-03-30;110;45;17;6
28;79;2020-03-30;119;41;18;8
28;89;2020-03-30;95;13;12;15
28;90;2020-03-30;23;1;2;8
32;0;2020-03-30;1355;400;497;242
32;09;2020-03-30;12;1;10;0
32;19;2020-03-30;1;0;5;0
32;29;2020-03-30;21;4;37;0
32;39;2020-03-30;43;8;58;0
32;49;2020-03-30;78;30;70;2
32;59;2020-03-30;211;82;94;7
32;69;2020-03-30;283;115;69;31
32;79;2020-03-30;326;130;79;67
32;89;2020-03-30;278;27;54;98
32;90;2020-03-30;93;0;20;36
44;0;2020-03-30;3950;844;1487;919
44;09;2020-03-30;5;0;68;0
44;19;2020-03-30;5;0;10;0
44;29;2020-03-30;45;5;67;0
44;39;2020-03-30;100;21;107;3
44;49;2020-03-30;209;60;148;6
44;59;2020-03-30;473;146;225;21
44;69;2020-03-30;838;295;287;81
44;79;2020-03-30;1050;262;285;241
44;89;2020-03-30;869;39;197;388
44;90;2020-03-30;297;1;58;171
